ID ACTIVAS,CLIENTES,MARCA,AÑO
13246,JOHN DEERE SALTILLO,International,2023
13569,MABE SALTILLO,Volkswagen,2023
14021,DAIMLER,Mercedes,2024
8836,RENTADA,Mercedes,2015
8829,RENTADA,Mercedes,2015
6596,YFAI RAMOS,International,2019
11020,MABE SALTILLO,International,2022
12444,MAGNA POWERTRAIN,Mercedes,2023
12390,DAIMLER,Mercedes,2023
12716,MAHLE BR 1,International,2023
13245,WINDSOR MACHINE MEXICO,International,2023
14020,DAIMLER,Mercedes,2024
15228,YFAI DERRAMADERO,Mercedes,2024
9035,RENTADA,Mercedes,2015
12007,MABE SALTILLO,Mercedes,2023
12389,DAIMLER,Mercedes,2023
12715,MAHLE BR 2,International,2023
13234,JOHN DEERE SALTILLO,International,2023
14019,DAIMLER,Mercedes,2024
15296,YFAI STA MARIA,Volkswagen,2024
4944,TUPY SALTILLO,International,2017
7600,MAGNA CLOUSURES,International,2019
9866,YFAI TO,International,2021
12005,MABE SALTILLO,Mercedes,2023
12388,DAIMLER,Mercedes,2023
12714,MAHLE BR 2,International,2023
13233,SAINT-GOBAIN,International,2023
14086,DAIMLER,Mercedes,2024
15295,YFAI STA MARIA,Volkswagen,2024
6120,ACCIONA,International,2019
4915,TUPY RAMOS,International,2017
12009,MABE SALTILLO,Mercedes,2023
12391,DAIMLER,Mercedes,2023
12713,MAHLE BR 2,International,2023
13232,YFAI STA MARIA 2,International,2023
14078,DAIMLER,Mercedes,2024
15214,OIEGSA,International,2024
15294,YFAI STA MARIA,Volkswagen,2024
9870,YFAI TO,International,2021
11856,VASCOR,Nissan,2022
12503,APTIV CENTEC 1,Mercedes,2023
12392,DAIMLER,Mercedes,2023
12712,MAHLE BR 2,International,2023
13231,JOHN DEERE SALTILLO,International,2023
14077,DAIMLER,Mercedes,2024
15299,YFAI STA MARIA,Volkswagen,2024
4913,TUPY SALTILLO,International,2017
9868,YFAI TO,International,2021
12006,MABE SALTILLO,Mercedes,2023
12394,DAIMLER,Mercedes,2023
12711,MAHLE BR 2,International,2023
13230,YFAI STA MARIA,International,2023
14076,DAIMLER,Mercedes,2024
14721,DISPONIBLE,Nissan,2023
4943,TRANFERENCIA,International,2017
6508,SAINT-GOBAIN,International,2019
4912,TRANFERENCIA,International,2017
9869,YFAI TO,International,2021
12008,MABE SALTILLO,Mercedes,2023
12399,DAIMLER,Mercedes,2023
12710,MAHLE BR 2,International,2023
13229,JOHN DEERE SALTILLO,International,2023
14075,DAIMLER,Mercedes,2024
14966,YFAI STA MARIA 2,International,2024
16112,MAGNA POWERTRAIN,International,2025
4911,TRANFERENCIA,International,2017
12004,APTIV CENTEC 2,Mercedes,2023
12078,DAIMLER,Mercedes,2023
13228,JOHN DEERE SALTILLO,International,2023
14074,DAIMLER,Mercedes,2024
14965,YFAI STA MARIA 2,International,2024
5076,TUPY RAMOS,International,2017
11875,MABE SALTILLO,Mercedes,2023
12079,DAIMLER,Mercedes,2023
13227,JOHN DEERE SALTILLO,International,2023
14073,DAIMLER,Mercedes,2024
16110,MAGNA POWERTRAIN,International,2025
5407,WOOBOTECH,Volkswagen,2018
12640,WINDSOR MACHINE MEXICO,Mercedes,2023
11876,MABE SALTILLO,Mercedes,2023
13226,JOHN DEERE SALTILLO,International,2023
14050,DAIMLER,Mercedes,2024
16109,MAGNA POWERTRAIN,International,2025
4900,YFAI RAMOS,International,2017
9864,YFAI TO,International,2021
12639,MABE SALTILLO,Mercedes,2023
13291,SAINT-GOBAIN,Mercedes,2023
13225,DISPONIBLE,International,2023
14049,DAIMLER,Mercedes,2024
15425,CVG,Nissan,2024
16108,MAGNA POWERTRAIN,International,2025
4909,TUPY RAMOS,International,2017
12638,MABE SALTILLO,Mercedes,2023
13223,TRANFERENCIA,International,2023
